name,position,yds
,,
CeeDee Lamb,WR,1749
Tyreek Hill,WR,1799
Amon-Ra St. Brown,WR,1515
Evan Engram,TE,963
Michael Pittman,WR,1152
Keenan Allen,WR,1243
Stefon Diggs,WR,1183
A.J. Brown,WR,1456
Puka Nacua,WR,1486
Davante Adams,WR,1144
Adam Thielen,WR,1014
Ja'Marr Chase,WR,1216
DJ Moore,WR,1364
T.J. Hockenson,TE,960
Garrett Wilson,WR,1042
Travis Kelce,TE,984
Chris Olave,WR,1123
Sam LaPorta,TE,889
Chris Godwin,WR,1024
Trey McBride,TE,825
David Njoku,TE,882
DeVonta Smith,WR,1066
Nico Collins,WR,1297
Mike Evans,WR,1255
Tyler Lockett,WR,894
Terry McLaurin,WR,1002
Rashee Rice,WR,938
Zay Flowers,WR,858
Breece Hall,RB,591
Calvin Ridley,WR,1016
Brandon Aiyuk,WR,1342
DeAndre Hopkins,WR,1057
Alvin Kamara,RB,466
Dalton Kincaid,TE,673
Cole Kmet,TE,719
Amari Cooper,WR,1250
Jaylen Waddle,WR,1014
Jake Ferguson,TE,761
Jakobi Meyers,WR,807
Jordan Addison,WR,911
Drake London,WR,905
Josh Downs,WR,771
Justin Jefferson,WR,1074
Tyler Boyd,WR,667
Christian McCaffrey,RB,564
DK Metcalf,WR,1114
George Kittle,TE,1020
Jayden Reed,WR,793
Rachaad White,RB,549
George Pickens,WR,1140
